Front,Back,Tags
"【选择题】第2章 晶体结构
按（　）层序堆积构成六方最紧密堆积
A. ABAB…
B. ABCABC…
C. ABBABB…
D. AABAAB…","正确答案：A. ABAB…
解析：ABAB… 两层一重复是六方最紧密堆积（hcp）；ABCABC… 是面心立方（fcc）。",材料科学基础 选择题 第2章晶体结构
"【选择题】第2章 晶体结构
八面体和四面体两种间隙分别由（　）个等大球体构成
A. 8 和 4
B. 4 和 8
C. 4 和 6
D. 6 和 4","正确答案：D. 6 和 4
解析：八面体间隙由 6 个球围成，四面体间隙由 4 个球围成（记：八面=6，四面=4）。",材料科学基础 选择题 第2章晶体结构
"【选择题】第2章 晶体结构
金刚石很硬而石墨很软，原因是
A. 晶体结构不同
B. 两者成分不同
C. 两者内部组织不同
D. 生产制备工艺不同","正确答案：A. 晶体结构不同
解析：金刚石是 sp³ 共价键三维骨架，极硬；石墨层内共价、层间范德华力弱，很软。成分相同，结构不同。",材料科学基础 选择题 第2章晶体结构
"【选择题】第3章 晶体缺陷
下列缺陷中属于点缺陷的是
A. 空位
B. 位错
C. 晶界
D. 相界","正确答案：A. 空位
解析：点缺陷（0 维）：空位、间隙原子、置换原子；位错是线缺陷，晶界/相界是面缺陷。",材料科学基础 选择题 第3章晶体缺陷
"【选择题】第3章 晶体缺陷
实际晶体的线缺陷表现为
A. 空位
B. 间隙原子
C. 位错
D. 晶界","正确答案：C. 位错
解析：线缺陷（1 维）即各种位错，表现为位错线。",材料科学基础 选择题 第3章晶体缺陷
"【选择题】第3章 晶体缺陷
下列晶体缺陷中属于面缺陷的是
A. 空位
B. 位错
C. 晶界
D. 间隙原子","正确答案：C. 晶界
解析：面缺陷（2 维）：晶界、相界、孪晶界；空位和间隙原子是点缺陷。",材料科学基础 选择题 第3章晶体缺陷
"【选择题】第3章 晶体缺陷
氮、氧在金属中一般占据间隙位置，这是因为
A. 金属中间隙半径大于氮氧原子半径
B. 氮、氧都是气体
C. 氮、氧原子半径较小，能挤入间隙位置
D. 易于形成间隙化合物","正确答案：C. 氮、氧原子半径较小，能挤入间隙位置
解析：间隙固溶体要点：溶质原子半径小，能挤入金属的间隙位置（间隙尺寸本身小于原子半径）。",材料科学基础 选择题 第3章晶体缺陷
"【选择题】第3章 晶体缺陷
金属中溶质原子或杂质原子的存在
A. 总是使晶格常数增大
B. 总是使晶格常数减小
C. 可能使晶格常数增大也可能减小
D. 对晶格常数没有影响","正确答案：C. 可能使晶格常数增大也可能减小
解析：间隙原子使晶格膨胀，置换原子视相对大小而定，所以晶格常数可能增大也可能减小。",材料科学基础 选择题 第3章晶体缺陷
"【选择题】第3章 晶体缺陷
金属与电负性较强的 IVA、VA、VIA 族元素按原子价规律形成的化合物称为
A. 电子化合物
B. 正常价化合物
C. 间隙化合物
D. 以上都不是","正确答案：B. 正常价化合物
解析：按原子价规律形成的是正常价化合物；按电子浓度规律形成的是电子化合物。",材料科学基础 选择题 第3章晶体缺陷
"【选择题】第3章 晶体缺陷
电子化合物中 A 组元质量分数超过 60%，该相晶体结构
A. 与 A 相同
B. 与 B 相同
C. 与 A、B 都不相同
D. 不确定","正确答案：C. 与 A、B 都不相同
解析：电子化合物的结构由电子浓度决定，与 A、B 组元的结构都不同。",材料科学基础 选择题 第3章晶体缺陷
"【选择题】第3章 晶体缺陷
关于位错性质，下列说法不正确的是
A. 位错不一定是直线
B. 位错是已滑移区和未滑移区的边界
C. 位错可以中断于晶体内部
D. 位错不能中断于晶体内部","正确答案：C. 位错可以中断于晶体内部
解析：位错不能中断于晶体内部，只能终止于表面、晶界或形成闭合位错环，所以 C 说法错误。",材料科学基础 选择题 第3章晶体缺陷
"【选择题】第3章 晶体缺陷
混合型位错的位错线与伯氏矢量
A. 垂直
B. 平行
C. 呈一定角度
D. 以上都不是","正确答案：C. 呈一定角度
解析：刃位错 b⊥位错线，螺位错 b∥位错线，混合位错 b 与位错线呈一定角度。",材料科学基础 选择题 第3章晶体缺陷
"【选择题】第3章 晶体缺陷
下列说法不正确的是
A. 扩展位错是线缺陷
B. 螺位错旋向不变而刃位错正负反向
C. 一个位错环不可能处处是刃位错，也不可能处处都是螺位错
D. 柏氏矢量是点阵的平移矢量","正确答案：C. 一个位错环不可能处处是刃位错，也不可能处处都是螺位错
解析：位错环可以处处是刃位错（如棱柱位错环），所以『不可能处处是刃/螺』的说法不正确。",材料科学基础 选择题 第3章晶体缺陷
"【选择题】第3章 晶体缺陷
面心立方单位位错的伯氏矢量大小是
A. √2/2·a
B. √3/2·a
C. √3/3·a
D. a/2","正确答案：A. √2/2·a
解析：b=a/2⟨110⟩，|b|=√[(a/2)²+(a/2)²]=√2/2·a。",材料科学基础 选择题 第3章晶体缺陷
"【选择题】第3章 晶体缺陷
面心立方单位位错的伯氏矢量是
A. a/2<110>
B. a<100>
C. a/2<111>
D. a/3<111>","正确答案：A. a/2<110>
解析：面心立方最密方向是 ⟨110⟩，单位位错 b=a/2⟨110⟩。",材料科学基础 选择题 第3章晶体缺陷
"【选择题】第3章 晶体缺陷
体心立方单位位错的伯氏矢量是
A. a/2<110>
B. a<100>
C. a/2<111>
D. a/3<111>","正确答案：C. a/2<111>
解析：体心立方最密方向是 ⟨111⟩，单位位错 b=a/2⟨111⟩，|b|=√3/2·a。",材料科学基础 选择题 第3章晶体缺陷
"【选择题】第4章 塑性变形与再结晶
密排六方金属的滑移系有（　）个
A. 12
B. 6
C. 3
D. 4","正确答案：C. 3
解析：hcp 只有基面 1 个滑移面 × 3 个滑移方向 = 3 个滑移系，所以塑性差、易孪生。",材料科学基础 选择题 第4章塑性变形与再结晶
"【选择题】第4章 塑性变形与再结晶
金属晶体塑性变形方式主要以（　）为主
A. 再结晶
B. 滑移
C. 熔化
D. 孪生","正确答案：B. 滑移
解析：塑性变形主要靠位错滑移完成，孪生只起辅助作用。",材料科学基础 选择题 第4章塑性变形与再结晶
"【选择题】第4章 塑性变形与再结晶
在切应力作用下，螺型位错可以进行
A. 攀移
B. 滑移
C. 攀移和滑移
D. 以上都不是","正确答案：B. 滑移
解析：螺位错没有多余半原子面，不能攀移，只能滑移；攀移是刃位错特有的运动。",材料科学基础 选择题 第4章塑性变形与再结晶
"【选择题】第4章 塑性变形与再结晶
位错在热缺陷作用下垂直滑移面的运动称为
A. 攀移
B. 滑移
C. 增殖
D. 减少","正确答案：A. 攀移
解析：攀移借助热缺陷（空位/间隙原子扩散）在垂直于滑移面方向运动，是刃位错的行为。",材料科学基础 选择题 第4章塑性变形与再结晶
"【选择题】第4章 塑性变形与再结晶
位错的滑移是指位错在（　）作用下在滑移面上的运动
A. 外力
B. 热应力
C. 化学力
D. 结构应力","正确答案：A. 外力
解析：滑移由外加切应力驱动，位错在滑移面上运动，产生永久（塑性）变形。",材料科学基础 选择题 第4章塑性变形与再结晶
"【选择题】第4章 塑性变形与再结晶
晶体转动使原有利于滑移的晶面变成不利于滑移，这种现象称为
A. 物理硬化
B. 几何硬化
C. 加工硬化
D. 不确定","正确答案：B. 几何硬化
解析：滑移时晶体转动使晶面远离 45°，取向因子变小、分切应力变小，滑移变难，即几何硬化。",材料科学基础 选择题 第4章塑性变形与再结晶
"【选择题】第4章 塑性变形与再结晶
加工硬化现象经过（　）可以消除
A. 再结晶
B. 滑移
C. 结晶
D. 以上都不是","正确答案：A. 再结晶
解析：再结晶形成新的等轴晶、位错密度大幅下降，可消除加工硬化；回复只能降低残余应力。",材料科学基础 选择题 第4章塑性变形与再结晶
"【选择题】第5章 扩散
菲克第一定律要求各处浓度及浓度梯度不随（　）改变
A. 距离
B. 时间
C. 温度
D. 时间和温度","正确答案：B. 时间
解析：稳态扩散指浓度及浓度梯度不随时间改变；随时间改变的是非稳态，用菲克第二定律。",材料科学基础 选择题 第5章扩散
"【选择题】第5章 扩散
菲克第二定律的误差函数解适用于
A. 无限长或半无限长扩散偶
B. 衰减薄膜源
C. 成分偏析的均匀化
D. 以上都不是","正确答案：A. 无限长或半无限长扩散偶
解析：误差函数解用于无限长/半无限长扩散偶（如渗碳）；衰减薄膜源用高斯解，均匀化用傅里叶级数解。",材料科学基础 选择题 第5章扩散
"【选择题】第5章 扩散
C 在 Fe 中的扩散以（　）为主
A. 间隙扩散
B. 空位扩散
C. 直接换位扩散
D. 以上都不是","正确答案：A. 间隙扩散
解析：C 原子半径小，在 Fe 中主要以间隙扩散方式迁移，速度也快。",材料科学基础 选择题 第5章扩散
"【选择题】第5章 扩散
固体材料中原子扩散的驱动力是
A. 化学位梯度
B. 浓度梯度
C. 温度梯度
D. 应力梯度","正确答案：A. 化学位梯度
解析：扩散的真正驱动力是化学位梯度；上坡扩散（低浓度→高浓度）就是浓度梯度解释不了的例子。",材料科学基础 选择题 第5章扩散
"【选择题】第5章 扩散
体扩散、晶界扩散、表面扩散的扩散系数关系是
A. DS<DB<DL
B. DL<DB<DS
C. DL<DS<DB
D. 以上都不是","正确答案：B. DL<DB<DS
解析：扩散路径快慢：表面 > 晶界 > 晶内，即 DS>DB>DL。",材料科学基础 选择题 第5章扩散
"【选择题】第5章 扩散
柯肯达尔效应中界面向 A 试样方向移动，则
A. A 组元的扩散速率大于 B 组元
B. A 组元的扩散速率小于 B 组元
C. A、B 扩散速率相同
D. A 组元溶质浓度大于 B 组元","正确答案：A. A 组元的扩散速率大于 B 组元
解析：柯肯达尔效应：界面移向扩散速率大的一方；界面移向 A 侧说明 A 组元扩散更快。",材料科学基础 选择题 第5章扩散
"【选择题】第6章 单元系相变原理
均匀形核时随着过冷度的增加，形核率
A. 增加
B. 降低
C. 先增加后降低
D. 以上都不是","正确答案：C. 先增加后降低
解析：过冷度增大：形核驱动力增大但原子迁移能力下降，两个因素竞争，形核率先升后降。",材料科学基础 选择题 第6章单元系相变原理
"【选择题】第6章 单元系相变原理
奥氏体转变是（　）相变
A. 一级
B. 二级
C. 三级
D. 以上都不是","正确答案：A. 一级
解析：奥氏体转变（如 γ→α+P）伴随体积、熵、焓的突变，属于一级相变。",材料科学基础 选择题 第6章单元系相变原理
"【选择题】第6章 单元系相变原理
形核功 ΔG* 与临界晶核界面能 ΔG 的关系是
A. ΔG=3ΔG*
B. ΔG=1/3ΔG*
C. ΔG=ΔG*
D. ΔG=2/3ΔG*","正确答案：A. ΔG=3ΔG*
解析：临界核界面能占形核功的 3 倍：ΔG*=1/3·界面能，即 ΔG=3ΔG*。",材料科学基础 选择题 第6章单元系相变原理
"【选择题】第6章 单元系相变原理
核胚半径等于临界尺寸时，体系的自由能变化
A. 大于零
B. 等于零
C. 小于零
D. 不确定","正确答案：A. 大于零
解析：r=r* 时自由能处于极大值 ΔG*（大于零）；只有 r>r* 后自由能才开始下降。",材料科学基础 选择题 第6章单元系相变原理
"【选择题】第6章 单元系相变原理
铸锭凝固时大部分结晶潜热通过液相散失，固态组织主要为
A. 树枝晶
B. 柱状晶
C. 胞状晶
D. 等轴晶","正确答案：A. 树枝晶
解析：潜热经液相散失使界面前沿过冷增大，有利于枝晶生长，组织呈树枝晶。",材料科学基础 选择题 第6章单元系相变原理
"【选择题】第7章 二元系相图
二元合金凝固时先凝固的固相中高熔点组元含量
A. 较高
B. 较低
C. 相同
D. 以上都不是","正确答案：A. 较高
解析：平衡凝固时先凝固的固相富高熔点组元（相图上固相线偏向高温侧）。",材料科学基础 选择题 第7章二元系相图
"【选择题】第7章 二元系相图
包晶转变（L+α→β）时高熔点组元
A. 由 L 和 α 同时向 β 内扩散
B. 由 L 向 α 内扩散
C. 由 L 向 β 内扩散
D. 由 α 向 β 内扩散","正确答案：D. 由 α 向 β 内扩散
解析：包晶转变中 β 在 α 表面形核长大，高熔点组元由 α 相向 β 相内扩散。",材料科学基础 选择题 第7章二元系相图
"【选择题】第7章 二元系相图
Pb-Sn 共晶组织 α、β 两相共存的原因是
A. α 和 β 的自由能相等
B. α 内 Pb 的化学势与 β 内 Pb 的化学势相等
C. α 内 Pb 的化学势与 β 内 Sn 的化学势相等
D. α 内 Sn 的化学势与 β 内 Pb 的化学势相等","正确答案：B. α 内 Pb 的化学势与 β 内 Pb 的化学势相等
解析：两相平衡条件：同一组元在两相中的化学势相等，即 μPb(α)=μPb(β)。",材料科学基础 选择题 第7章二元系相图
"【选择题】第7章 二元系相图
杠杆法则只能用于
A. 单相区中
B. 两相区中
C. 三相平衡水平线上
D. 三相区中","正确答案：B. 两相区中
解析：杠杆定律只能在两相区内计算两相相对量；单相区和三相平衡线上都不适用。",材料科学基础 选择题 第7章二元系相图
"【选择题】第7章 二元系相图
合金非平衡凝固时先共晶固溶体往往形成
A. 柱状晶
B. 细等轴晶
C. 树枝状晶
D. 以上都不是","正确答案：C. 树枝状晶
解析：非平衡凝固过冷大、易形成枝晶，先共晶固溶体呈树枝状晶。",材料科学基础 选择题 第7章二元系相图
"【选择题】第7章 二元系相图
下列碳钢组织中包含两种相的是
A. 铁素体
B. 奥氏体
C. 珠光体
D. 渗碳体","正确答案：C. 珠光体
解析：珠光体 = 铁素体 + 渗碳体的机械混合物（两种相）；铁素体、奥氏体、渗碳体都是单相。",材料科学基础 选择题 第7章二元系相图
"【选择题】第8章 三元系相图
恒压条件下三元合金最多可以有（　）相共存
A. 2
B. 3
C. 4
D. 以上都不是","正确答案：C. 4
解析：恒压相律 F=C-P+1=4-P，F=0 时 P 最大为 4。",材料科学基础 选择题 第8章三元系相图
"【选择题】第8章 三元系相图
三相区等温截面为三角形，其顶点触及
A. 单相区
B. 双相区
C. 三相区
D. 三相平衡水平线","正确答案：A. 单相区
解析：三相区等温截面为连接三角形，三角形顶点与单相区相接（相区接触法则）。",材料科学基础 选择题 第8章三元系相图
"【选择题】第8章 三元系相图
三相区等温截面为三角形，其顶点触及（重复题）
A. 单相区
B. 双相区
C. 三相区
D. 三相平衡水平线","正确答案：A. 单相区
解析：与上题相同：三相区等温截面顶点触及单相区。",材料科学基础 选择题 第8章三元系相图
"【选择题】第8章 三元系相图
三元相图的垂直截面图可以
A. 分析相成分变化规律
B. 分析材料的平衡凝固过程
C. 用杠杆定律计算各相相对量
D. 分析各相的热力学参数","正确答案：B. 分析材料的平衡凝固过程
解析：垂直截面只能反映温度-成分关系、分析平衡凝固过程；算相对量必须用等温截面+杠杆定律。",材料科学基础 选择题 第8章三元系相图
【名词解释】金属键与共价键的异同,"相同点：成键方式都是电子共有。
不同点：共有范围不同——金属键中电子属所有原子共有（正离子+自由电子静电吸引）；共价键中价电子只属相邻若干原子共有。",材料科学基础 名词解释
【名词解释】晶体与非晶体,"相同点：都是固态物体。
不同点：晶体原子规则排列，各向异性，有固定熔点；非晶体原子无序排列，各向同性，无固定熔点。",材料科学基础 名词解释
【名词解释】间隙固溶体与间隙化合物,"相同点：小原子都位于间隙位置。
不同点：小原子溶入后仍保留大原子点阵的为间隙固溶体；改变了大原子点阵、形成新相的为间隙化合物（间隙相）。",材料科学基础 名词解释
【名词解释】全位错与不全位错,"相同点：都是线缺陷（位错）。
不同点：伯氏矢量等于点阵矢量或其整数倍的为全位错（滑移后原子排列不变）；不等于点阵矢量整数倍的为不全位错。",材料科学基础 名词解释
【名词解释】小角度晶界与大角度晶界,"都是晶粒之间的界面。
按相邻晶粒位相差区分：小于 10° 为小角度晶界，大于 10° 为大角度晶界。",材料科学基础 名词解释
【名词解释】共格相界,界面上的原子同时位于两相晶格的结点上，两相晶格彼此衔接，界面原子为两者共有。,材料科学基础 名词解释
【名词解释】取向因子（施密特因子）,τ=σ·cosφ·cosλ 中的 cosφ·cosλ。取向因子越大，分切应力越大；45° 时最大为 0.5。,材料科学基础 名词解释
【名词解释】加工硬化（冷作硬化）,金属随冷塑变形程度增大，强度和硬度逐渐升高，塑性和韧性逐渐降低的现象。,材料科学基础 名词解释
【名词解释】形变织构,塑性变形中晶粒的滑移面和滑移方向向主形变方向转动，使原来取向不同的晶粒在空间取向上呈现规律性（择优取向）的组织状态。,材料科学基础 名词解释
【名词解释】变形织构与再结晶织构,"相同点：都是择优取向的晶体结构。
不同点：由塑性变形直接引起的是变形织构；具有变形织构的金属再结晶后新晶粒仍保持择优取向，称为再结晶织构。",材料科学基础 名词解释
【名词解释】非稳态扩散,质量浓度随时间而变化的扩散。,材料科学基础 名词解释
【名词解释】柯肯达尔效应,界面两侧两种原子相互扩散且速率不等时，原始界面发生移动，界面移向原子扩散速率较大的一方。,材料科学基础 名词解释
【名词解释】上坡扩散与下坡扩散,"相同点：驱动力都是化学位梯度。
不同点：扩散方向不同——上坡扩散由低浓度处向高浓度处；下坡扩散由高浓度处向低浓度处。",材料科学基础 名词解释
【名词解释】反应扩散与原子扩散,"相同点：驱动力都是化学位梯度。
不同点：有无新相产生——扩散使溶质超过固溶体极限形成新相的是反应扩散（相变扩散）；基体晶格不变、无新相的是原子扩散。",材料科学基础 名词解释
【名词解释】均匀形核与非均匀形核,"相同点：驱动力阻力相同、临界半径相同、都要形核功、都以结构起伏和能量起伏为基础、都要临界过冷度。
不同点：均匀形核靠起伏在过冷液相中自发形核；非均匀形核以固体杂质或器壁为核心，界面能小、形核功小，更易进行。",材料科学基础 名词解释
【名词解释】光滑界面,从原子尺度看液固界面光滑平整、两相截然分开；光学显微镜下由曲折的若干小平面组成，又称小平面界面。,材料科学基础 名词解释
【名词解释】相与组织,"相同点：都是材料的组成部分。
不同点：相是同一聚集状态、同一晶体结构和性质并以界面隔开的均匀组成部分；组织是由若干相以一定数量、形状、尺寸、分布组合成的具有独特形态的部分。组织侧重微观结构，相侧重存在状态。",材料科学基础 名词解释
【名词解释】非平衡凝固,凝固中液固两相成分偏离液固相线，凝固需在更低温度完成，凝固后固体成分不均匀的结晶过程。,材料科学基础 名词解释
【名词解释】奥氏体,碳溶于 γ-Fe 中形成的间隙固溶体，面心立方结构，用 A 或 γ 表示。,材料科学基础 名词解释
【名词解释】渗碳体,铁和碳形成的具有复杂晶格的间隙化合物，硬度高、塑性差（延伸率≈0）；钢中呈片状或网络状，莱氏体中呈连续基体（有时鱼骨状）。,材料科学基础 名词解释
【公式与数字】菲克第一定律（适用条件？）,"J = -D·dρ/dx
适用稳态扩散：浓度及浓度梯度不随时间变化。",材料科学基础 公式数字
【公式与数字】菲克第二定律（适用条件？）,"∂ρ/∂t = D·∂²ρ/∂x²
适用非稳态扩散：浓度随时间变化。",材料科学基础 公式数字
【公式与数字】渗碳（误差函数解）公式,"(Ws - W)/(Ws - W0) = erf( x/(2√(Dt)) )
Ws 表面浓度，W0 初始浓度，W 深度 x 处浓度。",材料科学基础 公式数字
【公式与数字】Schmid 定律,"τ = σ·cosφ·cosλ
cosφ·cosλ 为取向因子，45° 时最大 0.5。",材料科学基础 公式数字
【公式与数字】临界晶核半径 r*,"r* = 2σ·Tm/(Lm·ΔT)（或 2σ/ΔGv）
σ 固液界面能，Lm 熔化热，ΔT 过冷度。",材料科学基础 公式数字
【公式与数字】临界形核功 ΔG*,"ΔG* = 16πσ³/(3ΔGv²)
临界核的界面能 = 3ΔG*（即 ΔG=3ΔG*）。",材料科学基础 公式数字
【公式与数字】晶面指数求法步骤,"截距 → 取倒数 → 互质整数 → 加圆括号 (hkl)。
例：截距 3a,2b,c → (236)；a,2b,2c → (211)。",材料科学基础 公式数字
【公式与数字】bcc / fcc / hcp 的每晶胞原子数与堆积系数,"bcc：2 个原子，68%
fcc：4 个原子，74%
hcp：6 个原子，74%",材料科学基础 公式数字
【公式与数字】滑移系数量,fcc 12、bcc 12、hcp 3（hcp 滑移系少，塑性差、易孪生）。,材料科学基础 公式数字
【公式与数字】位错能量与伯氏矢量,"E ∝ b²。
两根同向同大小位错合并后能量为原来的 4 倍。",材料科学基础 公式数字
【公式与数字】单位位错（伯氏矢量）,"fcc：a/2⟨110⟩，大小 √2/2·a
bcc：a/2⟨111⟩，大小 √3/2·a",材料科学基础 公式数字
【公式与数字】Fe-Fe3C 三个关键温度,"727℃ 共析、1148℃ 共晶、1495℃ 包晶。
口诀：727 共析、1148 共晶、1495 包晶。",材料科学基础 公式数字
【公式与数字】Fe-Fe3C 关键成分点,0.0218%（α 最大溶碳）、0.77%（共析）、2.11%（γ 最大溶碳）、4.3%（共晶）、6.69%（Fe3C）。,材料科学基础 公式数字
【公式与数字】钢与铸铁的室温组织,工业纯铁 F+Fe3CIII；亚共析钢 P+F；共析钢 P；过共析钢 P+Fe3CII；亚共晶白口铸铁 P+Fe3CII+Le′；共晶白口铸铁 Le′；过共晶白口铸铁 Fe3CI+Le′。,材料科学基础 公式数字
【公式与数字】扩散三条路径的快慢,表面扩散 > 晶界扩散 > 晶内扩散，即 DS > DB > DL。,材料科学基础 公式数字
【公式与数字】小角度 / 大角度晶界界限,相邻晶粒位相差 <10° 为小角度晶界，>10° 为大角度晶界。,材料科学基础 公式数字
【公式与数字】再结晶温度与临界变形度,"纯金属 T再 ≈ 0.4·T熔(K)。
临界变形度约 2%~10%，此变形量退火晶粒反而粗大。",材料科学基础 公式数字
【公式与数字】滑移 vs 孪生一句话,"滑移：位移为原子间距整数倍、晶体位向不变、变形量大、fcc 易滑移。
孪生：位移为分数倍、位向改变成镜面对称、变形快（近声速）、hcp 易孪生。",材料科学基础 公式数字
